,0,1,2
76,Firmicutes bacterium CAG:102,0.999665,Increased
77,Debaryomyces fabryi,0.99966437,Increased
78,Streptococcus lutetiensis,0.99966425,Increased
79,Thermales,0.9996642,Increased
80,Firmicutes bacterium CAG:240,0.99966294,Increased
81,Tyzzerella,0.99966294,Increased
82,Acremonium chrysogenum,0.99966013,Increased
83,Spiroplasmataceae,0.99965894,Increased
84,Moniliophthora perniciosa,0.9996513,Increased
85,Desulfobacterales,0.9996456,Increased
86,Campylobacter curvus,0.9996453,Increased
87,Azohydromonas,0.99964386,Increased
88,Proteobacteria bacterium CAG:139,0.99964345,Increased
89,Schaalia cardiffensis,0.99964285,Increased
90,Kwoniella mangrovensis,0.9996345,Increased
91,Grosmannia clavigera,0.99963385,Increased
92,Pirellulaceae,0.99963045,Increased
93,Neurospora crassa,0.99962956,Increased
94,Atopobium minutum,0.9996268,Increased
95,Citrobacter farmeri,0.9996221,Increased
96,Lipomycetaceae,0.9996219,Increased
97,Clostridia bacterium UC5.1-2D9,0.9996182,Increased
98,Treponema sp. oral taxon 250,0.9996177,Increased
99,Truepera,0.9996143,Increased
100,Actinomyces radicidentis,0.9996139,Increased
101,Chaetomiaceae,0.99961215,Increased
102,Erysiphe necator,0.9996115,Increased
103,Agrococcus,0.99960893,Increased
104,Desulfovibrio vietnamensis,0.9996083,Increased
105,Clostridium hylemonae,0.9996075,Increased
106,Exophiala mesophila,0.9995969,Increased
107,Rhodotorula sp. JG-1b,0.9995961,Increased
108,Aspergillus rambellii,0.99959505,Increased
109,Trueperaceae,0.99958134,Increased
110,Crepidotus,0.9995762,Increased
111,Anoxybacillus kestanbolensis,0.9995748,Increased
112,Actinotalea,0.9995746,Increased
113,Parastagonospora nodorum,0.9995731,Increased
114,Modestobacter,0.9995725,Increased
115,Ophiostoma piceae,0.9995724,Increased
116,Thermoanaerobacterales Family IV. Incertae Sedis,0.9995693,Increased
117,Prochlorococcus,0.99956805,Increased
118,Malasseziomycetes,0.9995635,Increased
119,Salmonella enterica,0.9995553,Increased
120,Staphylococcus sciuri,0.99955505,Increased
121,Prevotella buccalis,0.9995547,Increased
122,Porphyromonas asaccharolytica,0.99955183,Increased
123,Malasseziaceae,0.9995515,Increased
124,Fusobacterium nucleatum subsp. polymorphum,0.9995397,Increased
125,Planctomyces,0.9995397,Increased
126,Phascolarctobacterium succinatutens,0.9995338,Increased
127,Calditrichaceae,0.99953306,Increased
128,Aphanothecaceae,0.99952596,Increased
129,Plesiomonas shigelloides,0.9995249,Increased
130,Fretibacterium fastidiosum,0.9995193,Increased
131,Nocardioidaceae,0.9995083,Increased
132,Geobacteraceae,0.99950707,Increased
133,Desulfovibrio longreachensis,0.99950695,Increased
134,Chloracidobacterium,0.9995013,Increased
135,Pseudogymnoascus sp. VKM F-4518 (FW-2643),0.99949694,Increased
136,Sporosarcina,0.9994959,Increased
137,Blumeria graminis,0.9994951,Increased
138,Parabacteroides gordonii,0.9994924,Increased
139,Thermaceae,0.99948597,Increased
140,Lachnoanaerobaculum umeaense,0.99948335,Increased
141,Candidatus Tremblaya,0.9994817,Increased
142,Holophagales,0.9994783,Increased
143,Propionicimonas,0.9994771,Increased
144,Lactobacillus iners,0.9994739,Increased
145,Fusobacterium nucleatum subsp. vincentii,0.99946356,Increased
146,Phycicoccus,0.9994633,Increased
147,Pseudogymnoascus sp. VKM F-4520 (FW-2644),0.9994544,Increased
148,Aggregatibacter aphrophilus,0.9994539,Increased
149,Metarhizium rileyi,0.9994534,Increased
150,Aspergillus versicolor,0.99944746,Increased
151,Candidatus Portiera aleyrodidarum,0.999444,Increased
152,Trichococcus,0.9994399,Increased
153,Myxococcales,0.99943924,Increased
154,Firmicutes bacterium CAG:110,0.9994338,Increased
155,Thielaviopsis,0.9994338,Increased
156,Erysiphaceae,0.9994259,Increased
157,Thiotrichales,0.99942195,Increased
158,Lachnospira multipara,0.9994212,Increased
159,Lachnospiraceae bacterium 5_1_63FAA,0.9994208,Increased
160,Fretibacterium,0.9994148,Increased
161,Campylobacter showae,0.9994003,Increased
162,Olsenella profusa,0.99938583,Increased
163,Rhodanobacter,0.999373,Increased
164,Saprospiria,0.9993722,Increased
165,Arthrobotrys oligospora,0.9993604,Increased
166,Candidatus Midichloriaceae,0.9993491,Increased
167,Fusobacterium necrophorum,0.99934417,Increased
168,Holophagaceae,0.9993405,Increased
169,Limnohabitans,0.9993222,Increased
170,Kalmanozyma brasiliensis,0.99931765,Increased
171,Fusobacterium sp. oral taxon 203,0.99931735,Increased
172,Rhizobiaceae,0.99931574,Increased
173,Nevskia,0.9993132,Increased
174,Anaeroplasmatales,0.9993077,Increased
175,Basidioascus,0.9993016,Increased
176,Mogibacterium timidum,0.9992901,Increased
177,Cellulomonadaceae,0.99928814,Increased
178,Anoxybacillus,0.9992818,Increased
179,Cardiobacteriaceae,0.99924105,Increased
180,Rahnella,0.99923474,Increased
181,Serratia marcescens,0.9992292,Increased
182,Diaporthe ampelina,0.99922824,Increased
183,Prevotella buccae,0.9992214,Increased
184,Lachnospiraceae bacterium 2_1_58FAA,0.99921256,Increased
185,Kwoniella heveanensis,0.99919504,Increased
186,Fluviicola,0.9991872,Increased
187,Pneumocystidomycetes,0.9991871,Increased
188,Candidatus Blochmannia,0.999179,Increased
189,Schlegelella aquatica,0.99917793,Increased
190,Lachnobacterium bovis,0.9991773,Increased
191,SR1 bacterium oral taxon 874,0.9991747,Increased
192,Chaetomium globosum,0.9991682,Increased
193,Eubacterium hallii CAG:12,0.9991655,Increased
194,Sulfurimonas,0.9991572,Increased
195,Listeria monocytogenes,0.9991569,Increased
196,Acinetobacter johnsonii,0.9991557,Increased
197,Solanum melongena,0.9991553,Increased
198,Punctularia strigosozonata,0.9991541,Increased
199,Gluconacetobacter,0.9991529,Increased
200,Saprospirales,0.9991482,Increased
201,Macrophomina phaseolina,0.99913865,Increased
202,Thielaviopsis punctulata,0.9991368,Increased
203,Aspergillus sydowii,0.99913585,Increased
204,Nosema apis,0.99913394,Increased
205,Paeniclostridium,0.99913037,Increased
206,Hanseniaspora valbyensis,0.99912435,Increased
207,[Eubacterium] yurii,0.999118,Increased
208,Brachyspiraceae,0.9990949,Increased
209,Oribacterium parvum,0.9990908,Increased
210,Bergeyella zoohelcum,0.9990901,Increased
211,Pontibacter,0.99904376,Increased
212,Acinetobacter sp.,0.9990433,Increased
213,Macrococcus,0.99903446,Increased
214,Thermodesulfobiaceae,0.9989943,Increased
215,Moniliophthora,0.99899334,Increased
216,Acidiphilium,0.99894416,Increased
217,Wautersiella,0.99894065,Increased
218,Sterigmatomyces elviae,0.9989009,Increased
219,Anaeroplasma,0.99889106,Increased
220,Pneumocystis murina,0.9988856,Increased
221,Balneimonas,0.9988841,Increased
222,Conexibacteraceae,0.9988355,Increased
223,Lutispora,0.9988034,Increased
224,Actinomyces sp. oral taxon 877,0.9987933,Increased
225,Bombiscardovia,0.9987888,Increased
226,Desulfococcus,0.9987591,Increased
227,Eubacterium ruminantium,0.9987044,Increased
228,Lactobacillus fornicalis,0.99869984,Increased
229,Negativibacillus,0.99868095,Increased
230,Geobacter,0.99868,Increased
231,Peptacetobacter hiranonis,0.9986755,Increased
232,Lentibacillus,0.9986174,Increased
233,Carnobacterium,0.9986068,Increased
234,Fusobacterium perfoetens,0.9985792,Increased
235,Bosea,0.99854606,Increased
236,Veillonella rogosae,0.99853784,Increased
237,Porphyromonas uenonis,0.99852747,Increased
238,Alloiococcus,0.9985011,Increased
239,Robinsoniella peoriensis,0.9984999,Increased
240,Acinetobacter schindleri,0.9984504,Increased
241,Simonsiella,0.99841607,Increased
242,Prevotella amnii,0.9984147,Increased
243,Clostridiales bacterium,0.99839985,Increased
244,Azospira,0.99824107,Increased
245,Bacteroides-like sp. oral clone AU126,0.9982309,Increased
246,Treponema amylovorum,0.9981803,Increased
247,Alteromonas,0.9981176,Increased
248,Zhouia,0.99809474,Increased
249,Methylophaga,0.9980619,Increased
250,Streptococcus sp. oral taxon 058,0.9980395,Increased
251,Herbaspirillum,0.99798876,Increased
252,Achromobacter sp.,0.99782586,Increased
253,Myoviridae,0.9977993,Increased
254,Alkaliphilus,0.9977282,Increased
255,Prevotella scopos,0.99769455,Increased
256,Bifidobacterium longum subsp. longum,0.99766517,Increased
257,Staphylococcus epidermidis,0.9976227,Increased
258,Epsilonproteobacteria,0.9975655,Decreased
259,Prevotella ruminicola,0.9975259,Increased
260,Leptotrichia sp. oral taxon 212,0.9974663,Increased
261,Actinobaculum,0.9974448,Increased
262,Bifidobacterium thermacidophilum,0.9974323,Increased
263,Pseudothermotoga,0.99733675,Increased
264,Lederbergvirus,0.997317,Increased
265,Succinivibrionaceae,0.9973065,Increased
266,Stenotrophomonas acidaminiphila,0.99724597,Increased
267,Actinobaculum massiliense,0.997148,Increased
268,Phyllobacterium,0.9971204,Increased
269,Lactiplantibacillus plantarum,0.997073,Increased
270,Porphyromonas bennonis,0.997056,Increased
271,Lipomyces starkeyi,0.9970183,Increased
272,Enhydrobacter aerosaccus,0.9969385,Increased
273,Skermanella,0.9969125,Increased
274,Novispirillum,0.99685645,Increased
275,TM7 phylum sp. oral taxon 352,0.9968344,Increased
276,Bacillus sp. FJAT-22090,0.99681324,Increased
277,Opitutales,0.996767,Increased
278,Simonsiella muelleri,0.99666953,Increased
279,Coprobacter,0.99664897,Increased
280,TM7 phylum sp. oral taxon 348,0.99661773,Increased
281,Buttiauxella,0.99654555,Increased
282,Candida dubliniensis,0.9965274,Increased
283,Tequatrovirus,0.996497,Increased
284,Ruminococcus sp. N15.MGS-57,0.9964163,Increased
285,Centipeda,0.99633473,Increased
286,Novosphingobium aromaticivorans,0.9962518,Increased
287,Pseudomonas putida,0.9962397,Increased
288,Pneumoviridae,0.99613035,Increased
289,Chrysochromulina ericina virus,0.9960904,Increased
290,Mycoplasma genitalium,0.9960873,Increased
291,Neobacillus fumarioli,0.99605364,Increased
292,Torulaspora,0.9960261,Increased
293,Fusobacterium sp.,0.9960143,Increased
294,Nitrososphaera,0.9960069,Increased
295,Lambdavirus,0.99587,Increased
296,Bacteroides thetaiotaomicron,0.99583954,Increased
297,Chromatiales,0.99577814,Increased
298,Pelagibacterium,0.99573123,Increased
299,Parabacteroides goldsteinii,0.9957189,Increased
300,Campylobacter hominis,0.99568576,Increased
301,Myroides,0.9956772,Increased
302,Brucellaceae,0.99566054,Increased
303,Deferribacteres,0.9956503,Increased
304,Caudovirales,0.9956413,Increased
305,[Eubacterium] sulci,0.99563736,Increased
306,Glutamicibacter,0.9956022,Increased
307,Human orthopneumovirus,0.99557143,Increased
308,Cellulosimicrobium sp. TH-20,0.9955547,Increased
309,Parascardovia denticolens,0.9955452,Increased
310,Rhodococcus sp.,0.9954716,Increased
311,Prevotella histicola,0.9954447,Increased
312,Succinispira,0.995437,Increased
313,Urechidicola croceus,0.995394,Increased
314,Methylophilaceae,0.9953636,Increased
315,Bacillus thermoamylovorans,0.99533725,Increased
316,Clostridiales Family IV. Incertae Sedis,0.9953328,Increased
317,Torulaspora delbrueckii,0.99531955,Increased
318,Intrasporangiaceae,0.9953179,Increased
319,Klebsiella aerogenes,0.9953103,Increased
320,Papillibacter cinnamivorans,0.9952968,Increased
321,Klebsiella sp.,0.99524593,Increased
322,Aliihoeflea,0.99521524,Increased
323,Lactobacillus casei,0.9952142,Increased
324,Jonquetella anthropi,0.9952138,Increased
325,Nitrososphaeraceae,0.9951677,Increased
326,Marinobacter,0.9951445,Increased
327,Nitrososphaerales,0.99514,Increased
328,Leptotrichia sp. oral taxon 218,0.9951328,Increased
329,Isoptericola,0.9951237,Increased
330,Microbispora,0.99509853,Increased
331,Streptococcus pneumoniae,0.995082,Increased
332,Sulfuritalea,0.9950743,Increased
333,Candidatus Azobacteroides,0.995068,Increased
334,Schwartzia,0.9950416,Decreased
335,Streptococcus sp. oral taxon 431,0.99500763,Increased
336,Catabacter hongkongensis,0.9949443,Increased
337,Mucispirillum,0.99489754,Increased
338,Bacteroides salyersiae,0.99485505,Increased
339,Wolbachia,0.99482715,Increased
340,Prevotella sp. oral clone DO039,0.99479514,Increased
341,Blautia glucerasea,0.99479014,Increased
342,Parabacteroides distasonis ATCC 8503,0.99476236,Increased
343,Rhodotorula,0.99475485,Increased
344,Eggerthellaceae,0.9947348,Increased
345,Aerococcus,0.99470115,Increased
346,Deinococcus,0.99462837,Increased
347,Hungatella hathewayi,0.9945784,Increased
348,Dehalobacter,0.9945196,Increased
349,Staphylococcus aureus subsp. aureus ST228,0.9943355,Increased
350,Malassezia,0.99428904,Increased
351,Bdellovibrionales,0.99424094,Increased
352,Podoviridae,0.994226,Decreased
353,Oceanospirillaceae,0.9941604,Increased
354,Opitutaceae,0.9939936,Increased
355,Scardovia inopinata,0.9939837,Increased
356,Microvirgula,0.9938473,Increased
357,Ezakiella coagulans,0.99381036,Increased
358,Filifactor alocis,0.99374205,Increased
359,Capnocytophaga canimorsus,0.99370444,Increased
360,Hyphomonas,0.99366313,Increased
361,Fusibacter,0.9936406,Increased
362,Pseudomonas sp.,0.99352217,Increased
363,Chryseobacterium sp.,0.9934521,Increased
364,Wenyingzhuangia,0.99344325,Increased
365,Clavibacter,0.9933843,Increased
366,Pannonibacter,0.9933588,Increased
367,Microviridae,0.9933374,Increased
368,Idiomarinaceae,0.99327713,Increased
369,Phycisphaerae,0.99318266,Increased
370,Rhodococcus sp. 008,0.9931488,Increased
371,Clavibacter michiganensis,0.9931314,Increased
372,Lactobacillus acidophilus,0.99310875,Increased
373,Chlamydiales,0.9930697,Increased
374,Bifidobacterium bifidum,0.99306494,Decreased
375,Parabacteroides johnsonii,0.99297327,Increased
376,Hathewaya histolytica,0.99294794,Increased
377,Cellulosimicrobium,0.9928573,Increased
378,Citrobacter sp.,0.9928234,Increased
379,Mesorhizobium,0.99277353,Increased
380,Thermomonosporaceae,0.9927019,Increased
381,Punavirus,0.99256486,Increased
382,Streptococcus gordonii,0.992545,Increased
383,SR1 bacterium oral taxon 875,0.99249804,Increased
384,Acinetobacter venetianus RAG-1 = CIP 110063,0.99246716,Increased
385,Coprococcus sp. HPP0048,0.992377,Increased
386,Methylobacterium radiotolerans,0.99236304,Decreased
387,Buttiauxella agrestis,0.9922041,Increased
388,Deferribacterales,0.9920579,Increased
389,Wenyingzhuangia fucanilytica,0.9919993,Increased
390,Bilophila sp.,0.99197835,Increased
391,[Eubacterium] brachy,0.99190533,Increased
392,Orthopneumovirus,0.991749,Decreased
393,Cloacibacterium,0.9916746,Decreased
394,Atopobium sp.,0.99154717,Increased
395,Veillonella sp. oral taxon 780,0.9914576,Increased
396,Oceanospirillales,0.99138635,Decreased
397,Candidatus Parcubacteria,0.9912629,Increased
398,Kluyvera,0.99120694,Increased
399,Sinsheimervirus,0.9911817,Increased
400,Listeriaceae,0.9911554,Increased
401,Promicromonosporaceae,0.9910581,Increased
402,Selenomonas sp.,0.9910152,Increased
403,Blautia wexlerae,0.9907901,Increased
404,Herpesviridae,0.9907475,Increased
405,Knoellia,0.99062437,Increased
406,Chryseobacterium sp. IHB B 17019,0.99058753,Increased
407,Methyloversatilis discipulorum,0.9905306,Increased
408,Prevotella sp. oral taxon 473,0.99037695,Increased
409,Eisenbergiella,0.9903103,Increased
410,Gemella sp.,0.9901599,Increased
411,Prevotella corporis,0.99012464,Increased
412,Sporacetigenium,0.9900692,Increased
413,Peptococcus sp. oral taxon 167,0.9899571,Increased
414,Prevotella sp. oral clone DO014,0.98978394,Increased
415,Kingella sp. oral taxon 459,0.98963726,Increased
416,Oxobacter,0.9895576,Increased
417,Acidaminococcus intestini,0.98947287,Increased
418,Akkermansiaceae,0.9893363,Decreased
419,Reoviridae,0.98928076,Increased
420,Parascardovia,0.98926216,Increased
421,Crenarchaeota,0.9892056,Increased
422,Oenothera,0.98919344,Increased
423,Gemmatimonas,0.9886141,Increased
424,Brucella,0.9886045,Increased
425,Phyllobacterium sp.,0.9884787,Increased
426,Buchnera aphidicola,0.9878792,Increased
427,Prevotella multisaccharivorax,0.9878279,Increased
428,Lachnospiraceae bacterium oral taxon 455,0.9878223,Increased
429,Granulicatella elegans,0.9877116,Increased
430,Flavobacteriaceae bacterium 3519-10,0.9874112,Increased
431,Prevotella sp. oral taxon 472,0.9873899,Increased
432,Rubellimicrobium,0.98736244,Increased
433,Euryarchaeota,0.98706484,Increased
434,Prevotella shahii,0.9869513,Increased
435,Retroviridae,0.98691005,Increased
436,Parasutterella secunda,0.9865265,Increased
437,Prevotella nanceiensis,0.98624593,Decreased
438,Sporobacter termitidis,0.9860785,Increased
439,Syntrophococcus,0.9859464,Increased
440,Hyphomicrobium,0.98594624,Increased
441,Clostridiales Family XIV. Incertae Sedis,0.98591036,Increased
442,Babesia,0.9856855,Increased
443,Moraxella osloensis,0.9856444,Increased
444,Pseudochrobactrum,0.985343,Increased
445,Staphylococcus pasteuri,0.98517907,Increased
446,Corynebacteriales,0.9851321,Decreased
447,Bergeriella,0.98497236,Increased
448,Streptococcus thermophilus,0.9845855,Increased
449,Fusobacterium varium,0.984261,Decreased
450,Leptotrichia sp. oral taxon 221,0.9842461,Increased
451,Corynebacterium sp.,0.98417455,Increased
452,Chlamydiia,0.98364305,Increased
453,Bacillaceae,0.98350763,Decreased
454,Congregibacter,0.98349875,Increased
455,Acholeplasma,0.9834745,Increased
456,Pseudonocardiaceae,0.9832363,Increased
457,Leptotrichia hofstadii,0.9831604,Increased
458,Succinatimonas,0.98300266,Increased
459,Candidatus Stoquefichus massiliensis,0.98280245,Increased
460,Bdellovibrionaceae,0.9822432,Increased
461,Ethanoligenens,0.9821578,Increased
462,Treponema putidum,0.98210746,Increased
463,Prevotella sp. oral taxon 309,0.98192626,Increased
464,Rhodococcus,0.9818227,Increased
465,Eubacterium infirmum F0142,0.98055804,Increased
466,Deinococcus grandis,0.9805532,Increased
467,Nocardiaceae,0.98038995,Increased
468,Cenarchaeales,0.98026943,Increased
469,Parcubacteria bacterium RAAC4_OD1_1,0.9801888,Increased
470,Idiomarina,0.9797386,Increased
471,Rhodospirillaceae,0.97906184,Increased
472,Rubrobacteraceae,0.9787936,Increased
473,Candidatus Endolissoclinum,0.9786647,Increased
474,Planctomycetes,0.9785448,Increased
475,Alistipes senegalensis,0.978426,Increased
476,Streptococcus pseudopneumoniae,0.9784115,Increased
477,Streptococcus phage PhiSpn_200,0.97806215,Increased
478,Faecalibaculum,0.97787964,Increased
479,Rhodoferax,0.97781265,Increased
480,Arcobacter,0.9777688,Increased
481,Shuttleworthia,0.97768366,Decreased
482,unclassified Ruminococcaceae,0.97733104,Increased
483,Oribacterium sp. oral taxon 108,0.97684973,Increased
484,Coprobacter fastidiosus,0.9764435,Increased
485,Phocaeicola coprocola,0.97639525,Increased
486,Prevotella pallens,0.97633404,Increased
487,Flavobacteriaceae,0.9759828,Increased
488,Parachlamydiaceae,0.9759732,Increased
489,Segetibacter,0.9756348,Increased
490,Providencia vermicola,0.97532314,Increased
491,Sphingobium,0.9753159,Increased
492,Procabacteriaceae,0.97494745,Increased
493,Hyphomicrobiaceae,0.974487,Increased
494,Paucisalibacillus,0.9744179,Increased
495,Leptotrichia buccalis,0.97407526,Increased
496,Actinomyces oris,0.97362614,Decreased
497,Bryobacterales,0.97311074,Increased
498,Coccolithovirus,0.9730626,Increased
499,Puniceicoccaceae,0.9728927,Increased
500,Mogibacterium sp.,0.97259337,Increased
501,Streptococcus peroris,0.9720513,Increased
502,Vibrionimonas,0.97194314,Increased
503,Proteiniphilum,0.97190046,Increased
504,Halobacillus mangrovi,0.97130907,Increased
505,Procabacteriales,0.9712836,Increased
506,Oribacterium sinus,0.97118247,Increased
507,Nitrosomonadales,0.9711669,Increased
508,Rhodospirillales,0.9703815,Increased
509,Kocuria,0.97020304,Increased
510,Tissierellaceae,0.9701534,Decreased
511,Chlamydiae,0.96938586,Increased
512,Roseomonas mucosa,0.9690526,Increased
513,Corynebacterium appendicis,0.9690024,Increased
514,Paraeggerthella,0.968661,Increased
515,Nitrosomonas,0.96800387,Increased
516,Anaerorhabdus,0.9671068,Decreased
517,Deinococcaceae,0.96677715,Increased
518,Cupriavidus,0.9662567,Decreased
519,Solobacterium moorei,0.96617866,Increased
520,Solirubrobacterales,0.96596885,Increased
521,Facklamia,0.96525353,Decreased
522,Sarcina sp.,0.96493435,Increased
523,Providencia,0.9642653,Increased
524,Lactococcus piscium,0.96425176,Increased
525,Bifidobacterium animalis,0.96413416,Increased
526,Brevibacteriaceae,0.9637804,Increased
527,Pseudoxanthomonas,0.963047,Increased
528,Bradyrhizobium,0.96256775,Decreased
529,Papillibacter,0.96245325,Increased
530,Saccharopolyspora,0.9621955,Increased
531,Sphingobium xenophagum,0.96203256,Increased
532,Campylobacter concisus,0.96200305,Decreased
533,Lachnoanaerobaculum sp. ICM7,0.96163917,Increased
534,Patulibacteraceae,0.9609961,Increased
535,Pseudoalteromonas,0.96092206,Increased
536,unclassified Rikenellaceae,0.9600942,Increased
537,Gemella haemolysans,0.95851934,Increased
538,Wallemia,0.9575819,Increased
539,Gardnerella,0.95743895,Increased
540,Catonella morbi,0.95692694,Increased
541,Oribacterium sinus F0268,0.956672,Increased
542,Streptococcus sp. I-G2,0.9564892,Increased
543,Pantoea agglomerans,0.9554851,Increased
544,Acidobacteria,0.9550261,Decreased
545,Defluviitaleaceae,0.95432305,Increased
546,[Eubacterium] infirmum,0.952617,Increased
547,Leucobacter,0.9525062,Increased
548,Phocaeicola massiliensis,0.95232403,Decreased
549,Lancefieldella rimae,0.95217013,Increased
550,Tyzzerella nexilis,0.9500036,Increased
551,Anaeroglobus,0.9490378,Decreased
552,Lactobacillus brevis,0.9483316,Increased
553,Rothia dentocariosa,0.94744027,Increased
554,Desulfobulbus,0.94726896,Increased
555,Salmonella,0.9452592,Decreased
556,Anaerostipes caccae DSM 14662,0.9433855,Increased
557,Acidothermus,0.9424948,Increased
558,Corynebacterium matruchotii,0.94239265,Increased
559,Neisseria sp.,0.9422939,Increased
560,Catonella,0.94228727,Decreased
561,Massilia alkalitolerans,0.9418691,Increased
562,Acidobacteriia,0.9418518,Increased
563,Acholeplasmatales,0.9418177,Increased
564,[Clostridium] symbiosum,0.939957,Increased
565,Porphyromonas pasteri,0.9390143,Increased
566,Bacteroides nordii,0.93841165,Increased
567,Weissella,0.937677,Decreased
568,Streptococcus parasanguinis,0.9376412,Decreased
569,Sutterella wadsworthensis,0.9365087,Increased
570,Filifactor,0.9362553,Decreased
571,Fusobacterium mortiferum,0.9358374,Increased
572,Phenylobacterium,0.93567336,Decreased
573,Spirochaetia,0.9355177,Decreased
574,Lysurus,0.9348252,Increased
575,Raoultella,0.93382907,Decreased
576,Odoribacter sp.,0.93379134,Increased
577,Diaphorobacter,0.9333591,Increased
578,Dialister pneumosintes,0.93189484,Increased
579,Cronobacter,0.9312339,Increased
580,Ophiocordyceps,0.9311756,Increased
581,Erythrobacteraceae,0.9311744,Increased
582,Corynebacterium durum,0.9306748,Increased
583,Sphingomonas azotifigens,0.9304493,Decreased
584,Parasporobacterium,0.929672,Increased
585,uncultured Stomatobaculum sp.,0.9285623,Increased
586,Pseudonocardiales,0.9272229,Increased
587,Microbacterium chocolatum,0.9266083,Increased
588,Phyllobacteriaceae,0.92649555,Increased
589,Planctomycetia,0.9246933,Increased
590,Phocaeicola dorei,0.9239541,Increased
591,unclassified Lactobacillales,0.92388314,Decreased
592,Antrodiella,0.9233071,Increased
593,Prevotella denticola,0.92158276,Increased
594,Corynebacteriaceae,0.9204893,Decreased
595,Veillonella sp.,0.9203083,Increased
596,Atopobium parvulum DSM 20469,0.9202513,Increased
597,Bulleidia,0.91990507,Increased
598,Lactobacillus jensenii,0.9174458,Increased
599,Lactobacillus rhamnosus,0.916141,Increased
600,Pseudomonas luteola,0.91592723,Increased
601,Aeromonadales,0.91495985,Increased
602,Hyphomonadaceae,0.9143337,Increased
603,Denitratisoma,0.91424584,Increased
604,Brevibacillus,0.9137784,Decreased
605,Candidatus Azobacteroides pseudotrichonymphae,0.91337407,Increased
606,Howardella,0.91190886,Decreased
607,Peptostreptococcus stomatis,0.91141754,Increased
608,Candidatus Soleaferrea,0.9108791,Decreased
609,Deferribacteraceae,0.91064596,Increased
610,Catabacter,0.9104688,Increased
611,Exiguobacterium,0.9070179,Increased
612,Negativicutes,0.90680003,Decreased
