,0,1
227,Megamonas rupellensis,0.99983585
228,Neisseria cinerea,0.999835
229,Xylariales,0.99983466
230,Pucciniomycetes,0.9998326
231,Alistipes finegoldii,0.9998295
232,Prevotella bryantii,0.9998285
233,Filobasidiaceae,0.99982774
234,Hungatella xylanolytica,0.9998277
235,Malassezia,0.9998275
236,Oscillospiraceae,0.99982715
237,Saccharomyces,0.99982476
238,Saccharomycetales sp.,0.99982363
239,Streptococcus sp. VT 162,0.9998222
240,Sinobacteraceae,0.999821
241,Monilinia,0.999818
242,Rothia dentocariosa,0.99981755
243,Holdemania filiformis,0.99981356
244,Asaccharobacter,0.99981135
245,Trueperaceae,0.9998095
246,Stenotrophomonas sp.,0.9998084
247,Rhodotorula,0.9998075
248,Clostridium methylpentosum,0.99980706
249,Shigella sonnei,0.99980277
250,Actinobacillus porcinus,0.9997999
251,Bacteroides galacturonicus,0.9997982
252,Anaerostipes caccae,0.99979794
253,Acetivibrio ethanolgignens,0.9997936
254,Candida tropicalis,0.9997927
255,Faecalitalea cylindroides,0.9997924
256,Bulleribasidiaceae,0.999791
257,Saccharomycetaceae,0.99979097
258,Bacteroides zoogleoformans,0.9997901
259,Psathyrella artemisiae,0.99978805
260,Bacteroides sp. 3_1_40A,0.9997846
261,Malassezia sympodialis,0.9997834
262,Alistipes onderdonkii,0.9997826
263,Holophagae,0.9997819
264,Clostridiales Family XIII. Incertae Sedis,0.99978054
265,Thermales,0.9997805
266,Paludibacter,0.9997758
267,Campylobacter hominis,0.99977446
268,Enterobacteriaceae bacterium,0.99977094
269,Blautia sp.,0.99976987
270,Calditrichaceae,0.999768
271,Sporosarcina,0.999768
272,Leptosphaeriaceae,0.9997674
273,Lactobacillus mucosae,0.9997664
274,Staphylococcus epidermidis,0.9997642
275,Agaricomycetes,0.9997634
276,Polaromonas,0.9997617
277,Leptotrichia sp. oral taxon 212,0.9997603
278,Pigmentiphaga,0.99975747
279,Faecalicatena fissicatena,0.9997568
280,TM7 phylum sp. oral taxon 352,0.99975634
281,Filobasidiales,0.99975526
282,Veillonella atypica,0.9997525
283,Pseudomonas putida,0.99975246
284,Olsenella sp. oral taxon 809,0.9997495
285,Modestobacter,0.9997495
286,Filifactor alocis,0.9997481
287,Saccharomycodaceae,0.99974763
288,Staphylococcus auricularis,0.9997471
289,Lachnospiraceae bacterium TF01-11,0.99974084
290,Streptococcus sp. oral taxon 431,0.99973774
291,Olsenella sp. SIT9,0.99973726
292,Nocardioides,0.9997367
293,Nocardioidaceae,0.9997362
294,Bifidobacterium angulatum,0.9997356
295,Lachnospiraceae bacterium 2_1_46FAA,0.9997343
296,Jonquetella anthropi,0.9997326
297,Novispirillum,0.9997326
298,Clavibacter michiganensis,0.99973243
299,Bacillus coagulans,0.99973124
300,Slackia piriformis,0.99971753
301,Actinotalea,0.9997137
302,Congregibacter,0.9997137
303,Syntrophus,0.99971366
304,Bifidobacterium pseudocatenulatum,0.99971145
305,Tremellales,0.9997086
306,Filobasidium uniguttulatum,0.99970734
307,Ruminococcus bicirculans,0.99970555
308,Enorma,0.99970424
309,Cystofilobasidiaceae,0.999704
310,Kaistia,0.99970335
311,Bacteroides-like sp. oral clone AU126,0.9996999
312,Sordariomycetes,0.9996995
313,Conexibacteraceae,0.99969685
314,Blautia sp. KLE 1732,0.9996956
315,Collinsella tanakaei,0.9996947
316,Eggerthellaceae,0.9996909
317,Turicibacter sp.,0.99968976
318,Agaricales,0.9996892
319,Oscillibacter sp. KLE 1745,0.9996851
320,Agrococcus,0.9996838
321,Streptococcus gallolyticus subsp. gallolyticus,0.9996834
322,Anaerotruncus sp. G3(2012),0.99967736
323,Gluconacetobacter,0.99967694
324,Parabacteroides gordonii,0.9996768
325,Thermaceae,0.99967605
326,Macrophomina phaseolina,0.99967504
327,Mucispirillum,0.9996729
328,Coriobacteriaceae bacterium 68-1-3,0.9996713
329,Faecalibacterium sp.,0.9996689
330,Eggerthellaceae bacterium AT8,0.999667
331,Enterocloster asparagiformis,0.9996656
332,Bacteroides cellulosilyticus,0.9996649
333,Acetivibrio,0.99966115
334,Cystofilobasidiales,0.9996559
335,Clostridium sporosphaeroides,0.99965584
336,Eubacterium sp.,0.9996512
337,Clostridium butyricum,0.9996469
338,Prevotella scopos,0.99964625
339,Cellulomonadaceae,0.9996462
340,Coprococcus sp. HPP0048,0.9996443
341,Neobacillus fumarioli,0.99964285
342,Bifidobacterium animalis,0.9996398
343,Opitutaceae,0.9996366
344,Holophagaceae,0.9996323
345,Phycicoccus,0.99962795
346,Propionicimonas,0.9996255
347,Methylophaga,0.9996212
348,Mesorhizobium,0.9996169
349,Lactobacillus brevis,0.99961644
350,Ruminococcus sp.,0.99961627
351,Prevotella amnii,0.99961627
352,Entyloma,0.9996161
353,Truepera,0.9996148
354,Actinobaculum massiliense,0.9996116
355,Succinispira,0.9996045
356,Prevotella corporis,0.99960375
357,Candida dubliniensis,0.9996013
358,Citrobacter sp.,0.99960095
359,Chloracidobacterium,0.9995943
360,Streptococcus peroris,0.99959034
361,Pleosporales,0.9995877
362,Trichosporon,0.99958235
363,Enterobacteria phage f1,0.9995793
364,Balneimonas,0.9995687
365,Malassezia globosa,0.99956757
366,Basidiomycota,0.99955225
367,Saccharomycetales,0.9995458
368,Succinivibrionaceae,0.9995392
369,Holophagales,0.9995338
370,Streptococcus gordonii,0.9995307
371,Atopobium sp.,0.9995306
372,Anaeroplasma,0.9995176
373,Opitutales,0.99950707
374,Hanseniaspora valbyensis,0.9995022
375,Bifidobacterium thermacidophilum,0.9994965
376,Fluviicola,0.99949205
377,Lachnospira pectinoschiza,0.9994883
378,Lactobacillus casei,0.9994826
379,Dialister pneumosintes,0.99948066
380,Saprospiria,0.999479
381,Lactobacillus acidophilus,0.9994771
382,Pseudoflavonifractor capillosus,0.9994753
383,Actinobaculum,0.9994638
384,Actinomyces oris,0.9994594
385,Paenibacillaceae,0.99945706
386,Tyzzerella nexilis,0.9994559
387,Gemella sp.,0.9994475
388,Bergeyella zoohelcum,0.9994462
389,Azohydromonas,0.9994444
390,Nitrososphaeraceae,0.9994429
391,Clavibacter,0.9994421
392,Herbaspirillum,0.9994331
393,Brucella,0.99943
394,Eisenbergiella,0.99942935
395,Lachnospira multipara,0.999429
396,Sulfurimonas,0.99942565
397,Slackia exigua,0.9994228
398,Naganishia,0.9994155
399,Promicromonosporaceae,0.99940896
400,Spiroplasmataceae,0.9993911
401,Kalmanozyma brasiliensis,0.99938035
402,Dialister invisus,0.9993773
403,Actinomyces sp. oral taxon 877,0.9993663
404,Macrococcus,0.99933755
405,Scardovia inopinata,0.99933726
406,Carnobacterium,0.99933225
407,Myoviridae,0.9993292
408,Simonsiella,0.9993276
409,Lambdavirus,0.99932694
410,Lachnobacterium bovis,0.9993229
411,Acidiphilium,0.9993224
412,Myroides,0.999317
413,Syntrophococcus,0.99931157
414,Streptococcus sp. oral taxon 058,0.9993113
415,Nocardiaceae,0.9993059
416,Lutispora,0.99930066
417,Eubacterium hallii CAG:12,0.99929005
418,Solanum melongena,0.9992898
419,Veillonella sp.,0.99928766
420,Streptophyta,0.99928427
421,Lipomycetaceae,0.9992795
422,Chryseobacterium sp.,0.9992738
423,Proteiniphilum,0.99926317
424,Buttiauxella,0.99926144
425,Morganella morganii,0.99925786
426,Exophiala mesophila,0.99924785
427,Nevskia,0.9992478
428,Parabacteroides goldsteinii,0.9992375
429,Treponema amylovorum,0.99921745
430,Veillonella rogosae,0.999212
431,Torulaspora delbrueckii,0.99920213
432,Syntrophomonadaceae,0.99920195
433,Parascardovia denticolens,0.99920154
434,Anaeroplasmatales,0.9991936
435,Enterococcus durans,0.99918395
436,Veillonella sp. oral taxon 780,0.9991764
437,Peptococcus sp. oral taxon 167,0.99917614
438,Clostridium perfringens,0.9991736
439,Papillibacter,0.9991639
440,Deferribacteres,0.99916303
441,Centipeda,0.99916166
442,Azospira,0.9991367
443,Schlegelella aquatica,0.9991354
444,Olsenella,0.9991296
445,Pontibacter,0.9991202
446,Wautersiella,0.9991185
447,Roseomonas mucosa,0.999106
448,Nitrososphaerales,0.9991031
449,Bacillus sp. FJAT-22090,0.9990762
450,Lactiplantibacillus plantarum,0.99907106
451,Pseudomonas sp.,0.99906754
452,Ethanoligenens,0.99906194
453,Acremonium,0.9990602
454,Guignardia,0.99905956
455,Clostridioides difficile,0.99905556
456,Urechidicola croceus,0.9990553
457,Isoptericola,0.9990491
458,Catabacter hongkongensis,0.9990361
459,Olsenella uli,0.9990044
460,Thermoanaerobacterales Family IV. Incertae Sedis,0.99900055
461,Pneumocystidomycetes,0.9989994
462,Rahnella,0.99899495
463,Campylobacter concisus,0.9989945
464,Papillibacter cinnamivorans,0.9989813
465,Desulfococcus,0.9989792
466,Porphyromonas uenonis,0.99895436
467,Hungatella hathewayi,0.99894726
468,Lipomyces starkeyi,0.9989458
469,Aphanothecaceae,0.99893767
470,Clostridiales Family XIV. Incertae Sedis,0.99893266
471,Rhodocyclales,0.9989118
472,Alloiococcus,0.9989085
473,Clostridiales Family IV. Incertae Sedis,0.99889773
474,Paeniclostridium,0.9988599
475,Fusobacterium perfoetens,0.9988494
476,Negativibacillus,0.99884707
477,Pseudobutyrivibrio ruminis,0.998847
478,Aeromonadales,0.9988374
479,Punctularia strigosozonata,0.9988311
480,Dorea formicigenerans,0.99882287
481,Caudovirales,0.9988216
482,Deferribacterales,0.99881685
483,Enterococcus saccharolyticus,0.99881256
484,Cellulosimicrobium sp. TH-20,0.998809
485,Alkaliphilus,0.99879956
486,Brachyspiraceae,0.9987965
487,Rhodocyclaceae,0.99879
488,Oribacterium parvum,0.99877477
489,Pseudothermotoga,0.9987709
490,Nitrososphaera,0.9987685
491,Klebsiella pneumoniae,0.9987614
492,Ophiocordyceps,0.9987486
493,Limosilactobacillus fermentum,0.9987279
494,Solobacterium moorei,0.99872136
495,Acinetobacter schindleri,0.99870306
496,Wenyingzhuangia fucanilytica,0.9986998
497,Lactobacillus rhamnosus,0.9986898
498,Providencia,0.99867
499,Sphingobium xenophagum,0.99866897
500,Coccolithovirus,0.9986644
501,Clostridiales bacterium,0.9986625
502,Acidaminococcus,0.9986542
503,Bifidobacterium scardovii,0.998648
504,Torulaspora,0.99863917
505,Ruminococcus sp. N15.MGS-57,0.9986362
506,Bifidobacterium dentium,0.9986356
507,Streptococcus salivarius,0.9986299
508,Punavirus,0.99862415
509,Fusarium pseudograminearum,0.99862343
510,Saprospirales,0.9986191
511,Prevotella sp. oral clone DO039,0.99861795
512,Limnohabitans,0.9985848
513,Wenyingzhuangia,0.99857336
514,Salmonella,0.99856156
515,Orthopneumovirus,0.9985483
516,Hyphomonas,0.998527
517,Acinetobacter sp.,0.998489
518,Fusarium,0.99847364
519,Streptococcus pneumoniae,0.99847317
520,Rhodococcus sp. 008,0.99847025
521,Coriobacterium,0.99844766
522,Intrasporangiaceae,0.9984431
523,Trabulsiella,0.99843496
524,Mycobacterium,0.9984295
525,Capnocytophaga canimorsus,0.9983831
526,Oribacterium sinus,0.9983471
527,Thermodesulfobiaceae,0.99834573
528,Bifidobacterium bifidum,0.998342
529,Enhydrobacter aerosaccus,0.99833626
530,Ascomycota,0.99832773
531,Lactobacillus fornicalis,0.9982862
532,Arthrospira,0.99827343
533,Howardella,0.9982715
534,Clostridium innocuum,0.99825984
535,Phyllobacterium sp.,0.9982496
536,Buchnera aphidicola,0.9982446
537,Peptostreptococcus stomatis,0.99822634
538,Mycoplasma genitalium,0.99819547
539,Paucisalibacillus,0.99819463
540,[Clostridium] symbiosum,0.99819225
541,Intestinimonas massiliensis,0.99818623
542,Cellulosimicrobium,0.9981795
543,Anaeroglobus,0.99817413
544,Odoribacter sp.,0.99817073
545,Wolbachia,0.9981674
546,Chrysochromulina ericina virus,0.99816144
547,Klebsiella sp.,0.9981561
548,Aerococcaceae,0.9981329
549,Bosea,0.99807876
550,Lederbergvirus,0.99805546
551,Shigella,0.99805516
552,Senegalimassilia,0.9980462
553,Puniceicoccaceae,0.9980261
554,Thermus,0.9979739
555,Microbacterium chocolatum,0.99797153
556,Acinetobacter johnsonii,0.9979478
557,Oenothera,0.9979174
558,Achromobacter sp.,0.99791545
559,Facklamia,0.9979063
560,Faecalibaculum,0.9979017
561,Gemella morbillorum,0.99782604
562,Bifidobacterium longum subsp. longum,0.9977777
563,Clostridium baratii,0.9977664
564,Parascardovia,0.997735
565,Blautia wexlerae,0.99771905
566,Butyrivibrio crossotus,0.9976944
567,Gemella sanguinis,0.9976645
568,Coriobacterium glomerans,0.99764615
569,Idiomarinaceae,0.9976428
570,Bdellovibrionales,0.9976427
571,Blautia glucerasea,0.99757284
572,Human orthopneumovirus,0.9975619
573,Clostridium colicanis,0.99754965
574,Stenotrophomonas acidaminiphila,0.9975253
575,Helicobacter pylori,0.9974919
576,Microviridae,0.9974874
577,unclassified Rikenellaceae,0.9974688
578,Skermanella,0.99742985
579,Akkermansiaceae,0.9974192
580,Novosphingobium aromaticivorans,0.9973837
581,Acidobacterium,0.99738234
582,Phyllobacterium,0.9973732
583,Christensenella,0.99735755
584,Methylobacterium radiotolerans,0.99732697
585,Listeria monocytogenes,0.9973151
586,Lachnospiraceae bacterium 10-1,0.9973067
587,Pseudomonas aeruginosa,0.9972536
588,Lachnospiraceae bacterium MD335,0.9972459
589,Methyloversatilis discipulorum,0.9972249
590,Hungatella,0.9972171
591,Chryseobacterium sp. IHB B 17019,0.99719256
592,Candidatus Soleaferrea,0.9971239
593,Roseburia hominis,0.99710673
594,Faecalibacterium cf. prausnitzii KLE1255,0.997104
595,Enterococcaceae,0.9970984
596,Bdellovibrionaceae,0.99708897
597,Phaeocystis globosa virus,0.99707675
598,Planococcaceae,0.99704725
599,Ezakiella,0.9970366
600,Actinomyces viscosus,0.99703336
601,Butyricicoccus pullicaecorum,0.99700356
602,[Eubacterium] infirmum,0.9969649
603,[Bacteroides] pectinophilus,0.9969551
604,Eubacterium infirmum F0142,0.99692523
605,unclassified Ruminococcaceae,0.9969224
606,Phocaeicola dorei,0.996877
607,Brevibacteriaceae,0.99682915
608,Cardiobacterium,0.9968155
609,Novosphingobium sp.,0.9967769
610,Mimivirus,0.996756
611,Mitsuokella,0.996752
612,Sneathia sanguinegens,0.99673074
613,Eggerthella lenta,0.99672127
614,Coprococcus catus,0.996707
615,Rhodococcus sp.,0.99667156
616,Ruminococcus champanellensis,0.9966591
617,Marinobacter,0.9966352
618,Lachnoanaerobaculum sp. OBRC5-5,0.9966301
619,Enterocytozoon,0.9965898
620,Catonella morbi,0.99658215
621,Alistipes indistinctus,0.9965561
622,Leptosphaeria,0.9965256
623,Halobacillus mangrovi,0.9965025
624,Helicobacter sp.,0.9964894
625,Lysurus,0.9964536
626,Robinsoniella peoriensis,0.9964492
627,Anaerococcus tetradius,0.9964153
628,Acidaminococcus intestini,0.99638444
629,Bacillus thermoamylovorans,0.9963748
630,Intestinibacter bartlettii,0.9963577
631,Devosia,0.9963384
632,Anelloviridae,0.996303
633,Bryobacter,0.9962983
634,Pneumoviridae,0.9962828
635,Oribacterium sinus F0268,0.996262
636,Acholeplasmatales,0.99625677
637,Microvirgula,0.996171
638,Clostridium sp. M62/1,0.99616444
639,Enterorhabdus,0.99613255
640,Variibacter,0.99603933
641,Agathobaculum desmolans,0.9960115
642,Candidatus Stoquefichus massiliensis,0.9959968
643,Thermicanus,0.9959441
644,Lachnoanaerobaculum sp. ICM7,0.9959034
645,Atopobium parvulum DSM 20469,0.99586487
646,Catonella,0.9958317
647,Senegalimassilia anaerobia,0.99580383
648,Klebsiella aerogenes,0.9957758
649,Clostridium dakarense,0.9957551
650,Bacteroides thetaiotaomicron,0.9957373
651,Candidatus Azobacteroides,0.9956807
652,Capnocytophaga,0.9956435
653,Vogesella perlucida,0.9956288
654,Tequatrovirus,0.99562395
655,Pneumocystis murina,0.9955852
656,Streptomyces sp. SBT349,0.99558276
657,Clostridium celatum,0.99557304
658,Anaerococcus,0.99556816
659,[Eubacterium] cellulosolvens,0.995461
660,Nosema apis,0.99541503
661,Sinsheimervirus,0.9954117
662,Streptococcus phage PhiSpn_200,0.99540395
663,Boletus,0.9953305
664,Stomatobaculum longum,0.9953134
665,Pseudochrobactrum,0.9953085
666,Clostridium sp. 7_2_43FAA,0.9953046
667,Desulfobulbus,0.99526715
668,Orthopoxvirus,0.9952364
669,Thermomonosporaceae,0.99522865
670,Aeromonas,0.9952273
671,Lactococcus lactis,0.99520004
672,[Ruminococcus] lactaris,0.9951805
673,Adlercreutzia equolifaciens,0.99517345
674,Catenibacterium mitsuokai,0.9951609
675,Antrodiella,0.9951211
676,Terrisporobacter glycolicus,0.9951129
677,Rubellimicrobium,0.9951003
678,Rhodoferax,0.99509805
679,Rickettsiales,0.99509007
680,Oceanospirillaceae,0.995012
681,Succinatimonas,0.9949956
682,Saccharomycetes,0.9949646
683,Ferrimonas,0.99494135
684,Podoviridae,0.9949408
685,Synergistes,0.99490976
686,Schwartzia,0.99489844
687,Candidatus Solibacter,0.99484336
688,Desulfovibrio piger,0.994833
689,Enterocytozoon bieneusi,0.99471134
690,Clostridium aminophilum,0.99469376
691,Roseburia inulinivorans,0.9946702
692,Hyphomonadaceae,0.99459815
693,Retroviridae,0.9945908
694,Knoellia,0.994574
695,Phocaeicola coprocola,0.99455667
696,Mobiluncus,0.9944623
697,Reoviridae,0.9944214
698,Defluviitalea,0.99440736
699,Fusobacterium sp.,0.9943716
700,Christensenella minuta,0.99435353
701,Idiomarina,0.9943198
702,Clostridium sp. SY8519,0.99430984
703,Streptococcus intermedius,0.9943026
704,Streptococcus sp. 11aTha1,0.99427545
705,Blautia hansenii,0.9942284
706,Flavobacteriaceae bacterium 3519-10,0.99413824
707,Coprobacter fastidiosus,0.9940383
708,Lactobacillus jensenii,0.99402654
709,Chromatiales,0.99399793
710,Prevotella stercorea,0.9939841
711,Candidatus Parcubacteria,0.99396265
712,Cupriavidus,0.99392766
713,Streptococcus mutans,0.9937916
714,Acidothermus,0.9937611
715,Wallemia,0.99372596
716,Acidibacter,0.99370956
717,Candida albicans,0.9935341
718,Subdoligranulum variabile,0.9935204
719,Phocaeicola massiliensis,0.99351346
720,Enterococcus faecium,0.99334186
721,Capnocytophaga ochracea,0.9933225
722,Phenylobacterium,0.9930948
723,Clostridium sp. L2-50,0.9930945
724,Sutterella wadsworthensis,0.9930479
725,Prevotella histicola,0.9929513
726,Subdoligranulum sp. 4_3_54A2FAA,0.99290633
727,Desulfocapsa,0.9928813
728,Prevotella copri,0.99283797
729,Herpesviridae,0.9927954
730,Streptococcus australis,0.9927831
731,Lactococcus piscium,0.99275416
732,Candidatus Azobacteroides pseudotrichonymphae,0.9927305
733,Prevotella sp. oral clone DO014,0.99270713
734,Dehalobacterium,0.9926455
735,Dehalobacter,0.9926041
736,Clostridium colinum,0.9925903
737,Fusicatenibacter saccharivorans,0.99250704
738,Ferrimonadaceae,0.99249005
739,Staphylococcus aureus subsp. aureus ST228,0.9924536
740,Pseudomonas luteola,0.9924245
741,Brachyspira,0.9923934
