,0,1,2
201,Escherichia albertii,0.99988055,Increased
202,Escherichia fergusonii,0.9998796,Increased
203,Eggerthella sp. YY7918,0.9998786,Increased
204,Methylotenera,0.9998786,Increased
205,Streptococcus sp. oral clone DP009,0.9998733,Increased
206,Gymnopilus,0.99987173,Increased
207,Slackia heliotrinireducens,0.999871,Increased
208,Blautia faecis,0.99986887,Increased
209,Psathyrella,0.9998672,Increased
210,Filobasidium,0.99986374,Increased
211,Lachnospiraceae bacterium 3_1_57FAA_CT1,0.99986315,Increased
212,Lachnospiraceae bacterium A2,0.99985987,Increased
213,Enterorhabdus mucosicola,0.9998564,Increased
214,Enterorhabdus caecimuris,0.99985445,Increased
215,Clostridium sp. ATCC 29733,0.99985296,Increased
216,Holdemania massiliensis,0.9998456,Increased
217,Entylomataceae,0.99984443,Increased
218,Anaeromassilibacillus senegalensis,0.9998438,Increased
219,Enorma massiliensis,0.9998432,Increased
220,Gallionellaceae,0.9998424,Increased
221,Bifidobacterium catenulatum subsp. kashiwanohense,0.99984205,Increased
222,Neisseria mucosa,0.99983925,Increased
223,Hanseniaspora,0.9998385,Increased
224,Helicobacter canadensis,0.9998379,Increased
225,Clostridium disporicum,0.9998374,Increased
226,Enterocloster lavalensis,0.9998365,Increased
227,Megamonas rupellensis,0.99983585,Increased
228,Neisseria cinerea,0.999835,Increased
229,Xylariales,0.99983466,Increased
230,Pucciniomycetes,0.9998326,Increased
231,Alistipes finegoldii,0.9998295,Increased
232,Prevotella bryantii,0.9998285,Increased
233,Filobasidiaceae,0.99982774,Increased
234,Hungatella xylanolytica,0.9998277,Increased
235,Malassezia,0.9998275,Increased
236,Oscillospiraceae,0.99982715,Increased
237,Saccharomyces,0.99982476,Increased
238,Saccharomycetales sp.,0.99982363,Increased
239,Streptococcus sp. VT 162,0.9998222,Increased
240,Sinobacteraceae,0.999821,Increased
241,Monilinia,0.999818,Increased
242,Rothia dentocariosa,0.99981755,Increased
243,Holdemania filiformis,0.99981356,Increased
244,Asaccharobacter,0.99981135,Increased
245,Trueperaceae,0.9998095,Increased
246,Stenotrophomonas sp.,0.9998084,Increased
247,Rhodotorula,0.9998075,Increased
248,Clostridium methylpentosum,0.99980706,Increased
249,Shigella sonnei,0.99980277,Increased
250,Actinobacillus porcinus,0.9997999,Increased
251,Bacteroides galacturonicus,0.9997982,Increased
252,Anaerostipes caccae,0.99979794,Increased
253,Acetivibrio ethanolgignens,0.9997936,Increased
254,Candida tropicalis,0.9997927,Increased
255,Faecalitalea cylindroides,0.9997924,Increased
256,Bulleribasidiaceae,0.999791,Increased
257,Saccharomycetaceae,0.99979097,Increased
258,Bacteroides zoogleoformans,0.9997901,Increased
259,Psathyrella artemisiae,0.99978805,Increased
260,Bacteroides sp. 3_1_40A,0.9997846,Increased
261,Malassezia sympodialis,0.9997834,Increased
262,Alistipes onderdonkii,0.9997826,Increased
263,Holophagae,0.9997819,Increased
264,Clostridiales Family XIII. Incertae Sedis,0.99978054,Increased
265,Thermales,0.9997805,Increased
266,Paludibacter,0.9997758,Increased
267,Campylobacter hominis,0.99977446,Increased
268,Enterobacteriaceae bacterium,0.99977094,Increased
269,Blautia sp.,0.99976987,Increased
270,Calditrichaceae,0.999768,Increased
271,Sporosarcina,0.999768,Increased
272,Leptosphaeriaceae,0.9997674,Increased
273,Lactobacillus mucosae,0.9997664,Increased
274,Staphylococcus epidermidis,0.9997642,Increased
275,Agaricomycetes,0.9997634,Increased
276,Polaromonas,0.9997617,Increased
277,Leptotrichia sp. oral taxon 212,0.9997603,Increased
278,Pigmentiphaga,0.99975747,Increased
279,Faecalicatena fissicatena,0.9997568,Increased
280,TM7 phylum sp. oral taxon 352,0.99975634,Increased
281,Filobasidiales,0.99975526,Increased
282,Veillonella atypica,0.9997525,Increased
283,Pseudomonas putida,0.99975246,Increased
284,Olsenella sp. oral taxon 809,0.9997495,Increased
285,Modestobacter,0.9997495,Increased
286,Filifactor alocis,0.9997481,Increased
287,Saccharomycodaceae,0.99974763,Increased
288,Staphylococcus auricularis,0.9997471,Increased
289,Lachnospiraceae bacterium TF01-11,0.99974084,Increased
290,Streptococcus sp. oral taxon 431,0.99973774,Increased
291,Olsenella sp. SIT9,0.99973726,Increased
292,Nocardioides,0.9997367,Increased
293,Nocardioidaceae,0.9997362,Increased
294,Bifidobacterium angulatum,0.9997356,Increased
295,Lachnospiraceae bacterium 2_1_46FAA,0.9997343,Increased
296,Jonquetella anthropi,0.9997326,Increased
297,Novispirillum,0.9997326,Increased
298,Clavibacter michiganensis,0.99973243,Increased
299,Bacillus coagulans,0.99973124,Increased
300,Slackia piriformis,0.99971753,Increased
301,Actinotalea,0.9997137,Increased
302,Congregibacter,0.9997137,Increased
303,Syntrophus,0.99971366,Increased
304,Bifidobacterium pseudocatenulatum,0.99971145,Increased
305,Tremellales,0.9997086,Increased
306,Filobasidium uniguttulatum,0.99970734,Increased
307,Ruminococcus bicirculans,0.99970555,Increased
308,Enorma,0.99970424,Increased
309,Cystofilobasidiaceae,0.999704,Increased
310,Kaistia,0.99970335,Increased
311,Bacteroides-like sp. oral clone AU126,0.9996999,Increased
312,Sordariomycetes,0.9996995,Increased
313,Conexibacteraceae,0.99969685,Increased
314,Blautia sp. KLE 1732,0.9996956,Increased
315,Collinsella tanakaei,0.9996947,Increased
316,Eggerthellaceae,0.9996909,Increased
317,Turicibacter sp.,0.99968976,Increased
318,Agaricales,0.9996892,Increased
319,Oscillibacter sp. KLE 1745,0.9996851,Increased
320,Agrococcus,0.9996838,Increased
321,Streptococcus gallolyticus subsp. gallolyticus,0.9996834,Increased
322,Anaerotruncus sp. G3(2012),0.99967736,Increased
323,Gluconacetobacter,0.99967694,Increased
324,Parabacteroides gordonii,0.9996768,Increased
325,Thermaceae,0.99967605,Increased
326,Macrophomina phaseolina,0.99967504,Increased
327,Mucispirillum,0.9996729,Increased
328,Coriobacteriaceae bacterium 68-1-3,0.9996713,Increased
329,Faecalibacterium sp.,0.9996689,Increased
330,Eggerthellaceae bacterium AT8,0.999667,Increased
331,Enterocloster asparagiformis,0.9996656,Increased
332,Bacteroides cellulosilyticus,0.9996649,Increased
333,Acetivibrio,0.99966115,Increased
334,Cystofilobasidiales,0.9996559,Increased
335,Clostridium sporosphaeroides,0.99965584,Increased
336,Eubacterium sp.,0.9996512,Increased
337,Clostridium butyricum,0.9996469,Increased
338,Prevotella scopos,0.99964625,Increased
339,Cellulomonadaceae,0.9996462,Increased
340,Coprococcus sp. HPP0048,0.9996443,Increased
341,Neobacillus fumarioli,0.99964285,Increased
342,Bifidobacterium animalis,0.9996398,Increased
343,Opitutaceae,0.9996366,Increased
344,Holophagaceae,0.9996323,Increased
345,Phycicoccus,0.99962795,Increased
346,Propionicimonas,0.9996255,Increased
347,Methylophaga,0.9996212,Increased
348,Mesorhizobium,0.9996169,Increased
349,Lactobacillus brevis,0.99961644,Increased
350,Ruminococcus sp.,0.99961627,Increased
351,Prevotella amnii,0.99961627,Increased
352,Entyloma,0.9996161,Increased
353,Truepera,0.9996148,Increased
354,Actinobaculum massiliense,0.9996116,Increased
355,Succinispira,0.9996045,Increased
356,Prevotella corporis,0.99960375,Increased
357,Candida dubliniensis,0.9996013,Increased
358,Citrobacter sp.,0.99960095,Increased
359,Chloracidobacterium,0.9995943,Increased
360,Streptococcus peroris,0.99959034,Increased
361,Pleosporales,0.9995877,Increased
362,Trichosporon,0.99958235,Increased
363,Enterobacteria phage f1,0.9995793,Increased
364,Balneimonas,0.9995687,Increased
365,Malassezia globosa,0.99956757,Increased
366,Basidiomycota,0.99955225,Increased
367,Saccharomycetales,0.9995458,Increased
368,Succinivibrionaceae,0.9995392,Increased
369,Holophagales,0.9995338,Increased
370,Streptococcus gordonii,0.9995307,Increased
371,Atopobium sp.,0.9995306,Increased
372,Anaeroplasma,0.9995176,Increased
373,Opitutales,0.99950707,Increased
374,Hanseniaspora valbyensis,0.9995022,Increased
375,Bifidobacterium thermacidophilum,0.9994965,Increased
376,Fluviicola,0.99949205,Increased
377,Lachnospira pectinoschiza,0.9994883,Increased
378,Lactobacillus casei,0.9994826,Increased
379,Dialister pneumosintes,0.99948066,Increased
380,Saprospiria,0.999479,Increased
381,Lactobacillus acidophilus,0.9994771,Increased
382,Pseudoflavonifractor capillosus,0.9994753,Increased
383,Actinobaculum,0.9994638,Increased
384,Actinomyces oris,0.9994594,Decreased
385,Paenibacillaceae,0.99945706,Increased
386,Tyzzerella nexilis,0.9994559,Increased
387,Gemella sp.,0.9994475,Increased
388,Bergeyella zoohelcum,0.9994462,Increased
389,Azohydromonas,0.9994444,Increased
390,Nitrososphaeraceae,0.9994429,Increased
391,Clavibacter,0.9994421,Increased
392,Herbaspirillum,0.9994331,Increased
393,Brucella,0.99943,Increased
394,Eisenbergiella,0.99942935,Increased
395,Lachnospira multipara,0.999429,Increased
396,Sulfurimonas,0.99942565,Increased
397,Slackia exigua,0.9994228,Increased
398,Naganishia,0.9994155,Increased
399,Promicromonosporaceae,0.99940896,Increased
400,Spiroplasmataceae,0.9993911,Increased
401,Kalmanozyma brasiliensis,0.99938035,Increased
402,Dialister invisus,0.9993773,Increased
403,Actinomyces sp. oral taxon 877,0.9993663,Increased
404,Macrococcus,0.99933755,Increased
405,Scardovia inopinata,0.99933726,Increased
406,Carnobacterium,0.99933225,Increased
407,Myoviridae,0.9993292,Increased
408,Simonsiella,0.9993276,Increased
409,Lambdavirus,0.99932694,Increased
410,Lachnobacterium bovis,0.9993229,Increased
411,Acidiphilium,0.9993224,Increased
412,Myroides,0.999317,Increased
413,Syntrophococcus,0.99931157,Increased
414,Streptococcus sp. oral taxon 058,0.9993113,Increased
415,Nocardiaceae,0.9993059,Increased
416,Lutispora,0.99930066,Increased
417,Eubacterium hallii CAG:12,0.99929005,Increased
418,Solanum melongena,0.9992898,Increased
419,Veillonella sp.,0.99928766,Increased
420,Streptophyta,0.99928427,Increased
421,Lipomycetaceae,0.9992795,Increased
422,Chryseobacterium sp.,0.9992738,Increased
423,Proteiniphilum,0.99926317,Increased
424,Buttiauxella,0.99926144,Increased
425,Morganella morganii,0.99925786,Increased
426,Exophiala mesophila,0.99924785,Increased
427,Nevskia,0.9992478,Increased
428,Parabacteroides goldsteinii,0.9992375,Increased
429,Treponema amylovorum,0.99921745,Increased
430,Veillonella rogosae,0.999212,Increased
431,Torulaspora delbrueckii,0.99920213,Increased
432,Syntrophomonadaceae,0.99920195,Increased
433,Parascardovia denticolens,0.99920154,Increased
434,Anaeroplasmatales,0.9991936,Increased
435,Enterococcus durans,0.99918395,Increased
436,Veillonella sp. oral taxon 780,0.9991764,Increased
437,Peptococcus sp. oral taxon 167,0.99917614,Increased
438,Clostridium perfringens,0.9991736,Increased
439,Papillibacter,0.9991639,Increased
440,Deferribacteres,0.99916303,Increased
441,Centipeda,0.99916166,Decreased
442,Azospira,0.9991367,Increased
443,Schlegelella aquatica,0.9991354,Increased
444,Olsenella,0.9991296,Increased
445,Pontibacter,0.9991202,Increased
446,Wautersiella,0.9991185,Increased
447,Roseomonas mucosa,0.999106,Increased
448,Nitrososphaerales,0.9991031,Increased
449,Bacillus sp. FJAT-22090,0.9990762,Increased
450,Lactiplantibacillus plantarum,0.99907106,Increased
451,Pseudomonas sp.,0.99906754,Increased
452,Ethanoligenens,0.99906194,Increased
453,Acremonium,0.9990602,Increased
454,Guignardia,0.99905956,Increased
455,Clostridioides difficile,0.99905556,Increased
456,Urechidicola croceus,0.9990553,Increased
457,Isoptericola,0.9990491,Increased
458,Catabacter hongkongensis,0.9990361,Increased
459,Olsenella uli,0.9990044,Increased
460,Thermoanaerobacterales Family IV. Incertae Sedis,0.99900055,Increased
461,Pneumocystidomycetes,0.9989994,Increased
462,Rahnella,0.99899495,Increased
463,Campylobacter concisus,0.9989945,Increased
464,Papillibacter cinnamivorans,0.9989813,Increased
465,Desulfococcus,0.9989792,Increased
466,Porphyromonas uenonis,0.99895436,Increased
467,Hungatella hathewayi,0.99894726,Increased
468,Lipomyces starkeyi,0.9989458,Increased
469,Aphanothecaceae,0.99893767,Increased
470,Clostridiales Family XIV. Incertae Sedis,0.99893266,Increased
471,Rhodocyclales,0.9989118,Increased
472,Alloiococcus,0.9989085,Increased
473,Clostridiales Family IV. Incertae Sedis,0.99889773,Increased
474,Paeniclostridium,0.9988599,Increased
475,Fusobacterium perfoetens,0.9988494,Increased
476,Negativibacillus,0.99884707,Increased
477,Pseudobutyrivibrio ruminis,0.998847,Increased
478,Aeromonadales,0.9988374,Increased
479,Punctularia strigosozonata,0.9988311,Increased
480,Dorea formicigenerans,0.99882287,Increased
481,Caudovirales,0.9988216,Increased
482,Deferribacterales,0.99881685,Increased
483,Enterococcus saccharolyticus,0.99881256,Increased
484,Cellulosimicrobium sp. TH-20,0.998809,Increased
485,Alkaliphilus,0.99879956,Increased
486,Brachyspiraceae,0.9987965,Increased
487,Rhodocyclaceae,0.99879,Increased
488,Oribacterium parvum,0.99877477,Increased
489,Pseudothermotoga,0.9987709,Increased
490,Nitrososphaera,0.9987685,Increased
491,Klebsiella pneumoniae,0.9987614,Increased
492,Ophiocordyceps,0.9987486,Increased
493,Limosilactobacillus fermentum,0.9987279,Decreased
494,Solobacterium moorei,0.99872136,Increased
495,Acinetobacter schindleri,0.99870306,Increased
496,Wenyingzhuangia fucanilytica,0.9986998,Increased
497,Lactobacillus rhamnosus,0.9986898,Decreased
498,Providencia,0.99867,Increased
499,Sphingobium xenophagum,0.99866897,Increased
500,Coccolithovirus,0.9986644,Increased
501,Clostridiales bacterium,0.9986625,Increased
502,Acidaminococcus,0.9986542,Increased
503,Bifidobacterium scardovii,0.998648,Increased
504,Torulaspora,0.99863917,Increased
505,Ruminococcus sp. N15.MGS-57,0.9986362,Increased
506,Bifidobacterium dentium,0.9986356,Increased
507,Streptococcus salivarius,0.9986299,Increased
508,Punavirus,0.99862415,Increased
509,Fusarium pseudograminearum,0.99862343,Increased
510,Saprospirales,0.9986191,Increased
511,Prevotella sp. oral clone DO039,0.99861795,Increased
512,Limnohabitans,0.9985848,Increased
513,Wenyingzhuangia,0.99857336,Increased
514,Salmonella,0.99856156,Increased
515,Orthopneumovirus,0.9985483,Increased
516,Hyphomonas,0.998527,Increased
517,Acinetobacter sp.,0.998489,Increased
518,Fusarium,0.99847364,Increased
519,Streptococcus pneumoniae,0.99847317,Increased
520,Rhodococcus sp. 008,0.99847025,Increased
521,Coriobacterium,0.99844766,Increased
522,Intrasporangiaceae,0.9984431,Increased
523,Trabulsiella,0.99843496,Increased
524,Mycobacterium,0.9984295,Increased
525,Capnocytophaga canimorsus,0.9983831,Increased
526,Oribacterium sinus,0.9983471,Increased
527,Thermodesulfobiaceae,0.99834573,Increased
528,Bifidobacterium bifidum,0.998342,Decreased
529,Enhydrobacter aerosaccus,0.99833626,Increased
530,Ascomycota,0.99832773,Increased
531,Lactobacillus fornicalis,0.9982862,Increased
532,Arthrospira,0.99827343,Increased
533,Howardella,0.9982715,Increased
534,Clostridium innocuum,0.99825984,Increased
535,Phyllobacterium sp.,0.9982496,Increased
536,Buchnera aphidicola,0.9982446,Increased
537,Peptostreptococcus stomatis,0.99822634,Increased
538,Mycoplasma genitalium,0.99819547,Increased
539,Paucisalibacillus,0.99819463,Increased
540,[Clostridium] symbiosum,0.99819225,Increased
541,Intestinimonas massiliensis,0.99818623,Increased
542,Cellulosimicrobium,0.9981795,Increased
543,Anaeroglobus,0.99817413,Increased
544,Odoribacter sp.,0.99817073,Increased
545,Wolbachia,0.9981674,Increased
546,Chrysochromulina ericina virus,0.99816144,Increased
547,Klebsiella sp.,0.9981561,Increased
548,Aerococcaceae,0.9981329,Increased
549,Bosea,0.99807876,Increased
550,Lederbergvirus,0.99805546,Increased
551,Shigella,0.99805516,Decreased
552,Senegalimassilia,0.9980462,Increased
553,Puniceicoccaceae,0.9980261,Increased
554,Thermus,0.9979739,Increased
555,Microbacterium chocolatum,0.99797153,Increased
556,Acinetobacter johnsonii,0.9979478,Increased
557,Oenothera,0.9979174,Increased
558,Achromobacter sp.,0.99791545,Increased
559,Facklamia,0.9979063,Increased
560,Faecalibaculum,0.9979017,Increased
561,Gemella morbillorum,0.99782604,Increased
562,Bifidobacterium longum subsp. longum,0.9977777,Increased
563,Clostridium baratii,0.9977664,Increased
564,Parascardovia,0.997735,Increased
565,Blautia wexlerae,0.99771905,Increased
566,Butyrivibrio crossotus,0.9976944,Increased
567,Gemella sanguinis,0.9976645,Increased
568,Coriobacterium glomerans,0.99764615,Increased
569,Idiomarinaceae,0.9976428,Increased
570,Bdellovibrionales,0.9976427,Increased
571,Blautia glucerasea,0.99757284,Increased
572,Human orthopneumovirus,0.9975619,Increased
573,Clostridium colicanis,0.99754965,Increased
574,Stenotrophomonas acidaminiphila,0.9975253,Increased
575,Helicobacter pylori,0.9974919,Increased
576,Microviridae,0.9974874,Increased
577,unclassified Rikenellaceae,0.9974688,Increased
578,Skermanella,0.99742985,Increased
579,Akkermansiaceae,0.9974192,Increased
580,Novosphingobium aromaticivorans,0.9973837,Increased
581,Acidobacterium,0.99738234,Increased
582,Phyllobacterium,0.9973732,Increased
583,Christensenella,0.99735755,Increased
584,Methylobacterium radiotolerans,0.99732697,Increased
585,Listeria monocytogenes,0.9973151,Increased
586,Lachnospiraceae bacterium 10-1,0.9973067,Increased
587,Pseudomonas aeruginosa,0.9972536,Decreased
588,Lachnospiraceae bacterium MD335,0.9972459,Increased
589,Methyloversatilis discipulorum,0.9972249,Increased
590,Hungatella,0.9972171,Increased
591,Chryseobacterium sp. IHB B 17019,0.99719256,Increased
592,Candidatus Soleaferrea,0.9971239,Increased
593,Roseburia hominis,0.99710673,Increased
594,Faecalibacterium cf. prausnitzii KLE1255,0.997104,Increased
595,Enterococcaceae,0.9970984,Increased
596,Bdellovibrionaceae,0.99708897,Increased
597,Phaeocystis globosa virus,0.99707675,Increased
598,Planococcaceae,0.99704725,Increased
599,Ezakiella,0.9970366,Increased
600,Actinomyces viscosus,0.99703336,Increased
601,Butyricicoccus pullicaecorum,0.99700356,Increased
602,[Eubacterium] infirmum,0.9969649,Increased
603,[Bacteroides] pectinophilus,0.9969551,Increased
604,Eubacterium infirmum F0142,0.99692523,Increased
605,unclassified Ruminococcaceae,0.9969224,Increased
606,Phocaeicola dorei,0.996877,Increased
607,Brevibacteriaceae,0.99682915,Increased
608,Cardiobacterium,0.9968155,Increased
609,Novosphingobium sp.,0.9967769,Increased
610,Mimivirus,0.996756,Increased
